"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,74427,"37701","TN","Knoxville","Blount County","Alcoa",9011,137800,0.00952380952380952,0.0322097378277154,0.0997605746209098,0.071859970503551,0.0249515851160849,"2019-02","2019-Q1",137800,0,"2019-02"
2019-02-28,84011,"59330","MT",,"Dawson County","Glendive",9012,177800,0.00395256916996047,0.0253748558246828,0.0570749108204518,0.0495648257042081,,"2019-02","2019-Q1",177800,0,"2019-02"
2019-02-28,74354,"37385","TN",,"Monroe County","Tellico Plains",9013,109300,0.00183318056828598,0.0129749768303985,0.195842450765864,0.0979584819962525,0.0440857810211692,"2019-02","2019-Q1",109300,0,"2019-02"
2019-02-28,68875,"26070","WV","Weirton-Steubenville","Brooke County","Wellsburg",9014,85700,0.00468933177022274,0.02389486260454,0.227793696275072,0.0672300239635741,0.0283491220066818,"2019-02","2019-Q1",85700,0,"2019-02"
2019-02-28,98099,"95315","CA","Merced","Merced County","Delhi",9015,259300,-0.00192455735180908,-0.00345887778631822,0.0804166666666667,0.126401696399441,0.0697689045610153,"2006-01","2006-Q1",325400,-0.203134603564843,"2005-02"
2019-02-28,60975,"08086","NJ","Philadelphia-Camden-Wilmington","Gloucester County","West Deptford",9016,190000,0.00742311770943796,0.0165864098448368,0.0182207931404073,0.0239440618235143,-0.0146876861472142,"2007-06","2007-Q2",242400,-0.216171617161716,"2004-08"
2019-02-28,67327,"22611","VA","Washington-Arlington-Alexandria","Clarke County","Berryville",9017,334700,-0.00178944229048613,0.00389922015596881,0.0469189865498905,0.0325989973420859,0.00075002222992282,"2007-01","2007-Q1",375700,-0.109129624700559,"2005-05"
2019-02-28,99975,"98816","WA","Wenatchee","Chelan County","Chelan",9018,281900,-0.00141693234148069,-0.0218598195697432,0.0842307692307692,0.0594494318347976,0.00465774778046057,"2008-04","2008-Q2",293200,-0.0385402455661664,"2007-08"
2019-02-28,89426,"72173","AR","Little Rock-North Little Rock-Conway","Faulkner County","Vilonia",9019,147800,0.0123287671232877,0.0314026517794836,0.0617816091954023,0.0119164675842116,0.0154429250332688,"2019-02","2019-Q1",147800,0,"2019-02"
2019-02-28,64074,"15417","PA","Pittsburgh","Fayette County","Brownsville",9020,60000,-0.00826446280991736,-0.0115321252059308,0.054481546572935,0.0290336610711879,0.02192826667666,"2018-12","2018-Q4",60800,-0.0131578947368421,"2018-06"
2019-02-28,70351,"29172","SC","Columbia","Lexington County","Pineridge",9021,127200,0.004739336492891,0.0299595141700405,0.143884892086331,0.0740374404516491,0.0236365020371037,"2019-02","2019-Q1",127200,0,"2019-02"
2019-02-28,70972,"30230","GA","LaGrange","Troup County","Hogansville",9022,99000,0.00814663951120163,0.0421052631578947,0.171597633136095,0.0562532145713217,0.0145312695727045,"2019-02","2019-Q1",99000,0,"2019-02"
2019-02-28,67359,"22712","VA","Washington-Arlington-Alexandria","Fauquier County","Bealeton",9023,308800,0.00520833333333333,0.0218398411647915,0.105225483178239,0.0490071940158425,0.0280376971075333,"2006-05","2006-Q2",361900,-0.146725614810721,"2005-04"
2019-02-28,100473,"99835","AK",,"Sitka Borough","Sitka",9024,371700,-0.00800640512409928,-0.0287431408413901,-0.0681875156680872,0.0169732192542746,0.0189103943039193,"2018-04","2018-Q2",400600,-0.0721417873190215,"2016-06"
2019-02-28,86613,"64834","MO","Joplin","Jasper County","Carl Junction",9025,150500,0.00467289719626168,0.0315284441398218,0.144486692015209,0.0334015783741408,0.0207152490058495,"2019-02","2019-Q1",150500,0,"2019-02"
2019-02-28,95146,"86040","AZ","Flagstaff","Coconino County","Page",9026,238700,0.00632377740303541,0.0262252794496991,0.0661009379187137,0.0482434228392714,,"2019-02","2019-Q1",238700,0,"2019-02"
2019-02-28,65377,"18210","PA","Allentown-Bethlehem-Easton","Carbon County","Penn Forest",9027,135200,0,0.017306245297216,0.129490392648287,0.0296906513574005,-0.0118390697490881,"2007-08","2007-Q3",163600,-0.17359413202934,"2005-07"
2019-02-28,79565,"49078","MI","Holland","Allegan County","Otsego",9028,137500,0,-0.00145243282498184,0.049618320610687,0.0765257843017544,0.0324611552848826,"2018-12","2018-Q4",138000,-0.0036231884057971,"2018-11"
